Unnamed: 0,IMDb_id,Title,Year,Genre,Synopsis
23,8000718,The Operative,2019,"Action, Drama, Mystery",A woman is recruited by the Mossad to work undercover in Tehran.
24,92534,Allan Quatermain and the Lost City of Gold,1986,"Action, Adventure, Comedy","Allan Quatermain once again teams up with Jesse Huston where the discovery of a mysterious old gold piece sends Quatermain looking for his long-lost brother, missing in the wilds of Africa after seeking a lost white race."
25,1252616,Spring 1941,2007,"Drama, War","Successful doctor Artur Planck, his wife Clara and their two daughters are seeking shelter from the Nazis storming Poland. A violent love triangle ensues between Arthur, Clara and Emelia, the woman they are taking shelter with."
26,1603900,Princess,2014,Drama,"While her mother is away from home, 12-year-old Adar's role-playing games with her stepfather move into dangerous territory. Seeking an escape, Adar finds Alan-an ethereal boy who joins her on a dark journey between reality and fantasy."
27,14043818,All Eyes Off Me,2021,"Comedy, Drama","Danny is pregnant by Max but she doesn't get around to telling him at a party. Meanwhile, Max is busy trying out his girlfriend Avishag's sexual fantasies with her."
28,12252488,America,2022,Drama,"An Israeli swimming tutor living in Chicago returns to Israel after 10 years of absence to bury his father. An encounter with a beloved childhood friend and his newly engaged girlfriend will set a series of events in motion that will affect everyone's lives. A story set between a flower shop and an ancient monastery, between a swimming pool in Chicago and the Mediterranean, between life and death - and somewhere in the middle."
29,4552524,Jeruzalem,2015,"Horror, Sci-Fi, Thriller","When a couple of American young adults fly to Israel to visit the city of Jerusalem, a biblical nightmare falls upon them."
30,2278284,S#x Acts,2012,Drama,Gili changes schools and hooks up with the most popular guy to improve her social status. He passes her off to friend after friend and the lines of consent begin to blur.
31,87682,Maria's Lovers,1984,"Drama, Romance","After spending the last of WWII in a brutal Japanese POW camp leaving him with nightmares, Ivan returns home to Pennsylvania for his childhood friend, Maria. But he has rivals for her love."
32,374279,Turn Left at the End of the World,2004,"Drama, Romance","As a family from India moves in to a desert neighborhood in Southern Israel in the 1960's, the family's eldest, beautiful daughter discovers friendship and romance with the lovely local French girl. The film also explores the hardships and surprises that come with the integration of multiple families from different ethnic backgrounds (from the diaspora) and their struggle with immigration and prejudice."
33,2318625,Out in the Dark,2012,"Crime, Drama, Romance","A drama centered on the love affair between two men on opposite sides of the Mid-East conflict: Palestinian student Nimer and Roy, an Israeli lawyer."
35,1821641,The Congress,2013,"Animation, Drama, Sci-Fi","An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider."
36,1424327,Eyes Wide Open,2009,"Drama, Romance","A married, Orthodox, Jerusalem butcher and Jewish father of four falls in love with his handsome, 22-year-old male apprentice, triggering the suspicions of his wife and the disapproval of his Orthodox community."
37,214871,The Last Patrol,2000,"Action, Drama, Sci-Fi","After a massive earthquake destroys Los Angeles, a new order is formed. But disagreement among the ranks leads to more war and disruption, and The Last Patrol must bring order if there's to be any hope for the future."
38,93891,Rumpelstiltskin,1987,"Fantasy, Family, Musical","A musical version of the classic story about a miller's daughter who receives help from a mischievous dwarf, then ends up over her head. Now, she and a mute servant girl may be the only hope for her baby son, John."
39,3709678,The Kindergarten Teacher,2014,Drama,"A kindergarten teacher discovers in a five year-old child a prodigious gift for poetry. Amazed and inspired by this young boy, she decides to protect his talent in spite of everyone."
40,4191702,Norman,2016,"Drama, Thriller","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse."
41,18834372,June Zero,2022,"Drama, History","This thrilling yet, at its core, empathetic and humanist film looks at the infamous trial of Adolf Eichmann, the architect of the mass extermination of Jews during the Second World War. Depicting the events preceding Eichmann's execution, it approaches the important and much publicized Nazi criminal through the eyes of three participants in these events."
42,1546421,The Slut,2011,"Drama, Romance","Tamar, a beautiful young woman, lives alone with her two daughters. She can't restrain her sexual appetite and gives herself to several men of the village."
43,5991206,The Wedding Plan,2016,"Comedy, Romance","When her fiancé bows out on the eve of her wedding, Michal refuses to cancel the wedding arrangements. An Orthodox Jew, she insists that God will supply her a husband. As the clock ticks down."
44,15041866,The Swimmer,2021,"Drama, Sport","Sees the discriminative tendencies in sports against LGBTQ people, and how a sportsman learns to accept and love himself despite that."
45,74575,God's Gun,1976,Western,A priest and his twin brother take turns defending a small town from the vicious Clayton gang.
46,9733388,Sublet,2020,"Comedy, Drama, Romance",A New York Times travel writer comes to Tel Aviv after suffering a tragedy. The energy of the city and his relationship with a younger man brings him back to life.
47,441761,Free Zone,2005,"Comedy, Drama",Two women embark on a road trip after they are brought together by circumstance. Rebecca (Portman) flees her hotel after a fight with her mother-in-law (Maura) and hails a taxi driven by Hanna (Lazlo).
48,790799,$9.99,2008,"Animation, Drama, Fantasy",A stop-motion animated story about people living in a Sydney apartment complex looking for meaning in their lives.
49,7942736,Spider in the Web,2019,Thriller,"A young operative is sent on a mission to follow an older agent, whose behavior has come into question."
50,73279,Lepke,1975,"Biography, Drama","Louis 'Lepke' Buchalter is head of Murder Inc., the syndicate that spattered the headlines of the day with blood."
51,2924590,Snails in the Rain,2013,"Drama, Romance","Tel Aviv, Summer 1989. Boaz, a beautiful and alluring linguistics student, receives anonymous, male-written, love letters that undermines his sexual identity and interfere with his peaceful life with his beloved girlfriend."
52,5448338,Plan A,2021,"Drama, Thriller","In 1945, a group of Jewish holocaust survivors planned to poison the water system in Germany. The film tells the dangerous and bold secret-operation which was called - Plan A."
53,10370402,Mossad,2019,"Action, Comedy","After an American tech-billionaire is kidnapped in Israel, the Mossad rushes to save him while the CIA send their best agent to help out."
54,95382,Iron Eagle II,1988,"Action, Drama, Romance",A joint U.S.- Soviet strike force is assembled to wipe out a nuclear base in an outlaw nation that plans to take the world hostage.
55,5974388,In Between,2016,Drama,Three Palestinian women living in an apartment in Tel Aviv try to find a balance between traditional and modern culture.
56,4777584,One Week and a Day,2016,"Comedy, Drama","As Eyal finishes the traditional Jewish week of mourning for his late son, his wife Vicky urges him to return to their routine -- but just because the shiva has ended doesn't mean it's life as usual."
57,1366409,Miral,2010,"Drama, History",A drama centered on an orphaned Palestinian girl growing up in the wake of Arab-Israeli war who finds herself drawn into the conflict.
58,79118,Lemon Popsicle,1978,"Comedy, Drama, Romance","Three friends live their lives in the 1950s, each searching for someone to love."
59,1934269,Yossi,2012,"Drama, Romance","This sequel to ""Yossi and Jagger"" finds Dr. Yossi Gutmann reminiscing about his love ten years after his death. When he encounters a group of young soldiers, one of them, Tom, reignites his romantic feelings."
60,12494638,Ahed's Knee,2021,"Drama, Music","An Israeli filmmaker throws himself in the midst of two battles doomed to fail: one against the death of freedom, the other against the death of a mother."
61,1483831,Lebanon,2009,"Drama, War","During the First Lebanon War in 1982, a lone tank and a paratroopers platoon are dispatched to search a hostile town."
62,1032856,The Band's Visit,2007,"Comedy, Drama, Music","A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town."
63,388311,Or (My Treasure),2004,"Drama, Romance","Or shoulders a lot: she's 17 or 18, a student, works evenings at a restaurant, recycles cans and bottles for cash, and tries to keep her mother Ruthie from returning to streetwalking in Tel Aviv. Ruthie calls Or ""my treasure,"" but Ruthie is a burden. She's just out of hospital, weak, and Or has found her a job as a house cleaner. The call of the quick money on the street is tough for Ruthie to ignore. Or's emotions roil further when the mother of the youth she's in love with comes to the flat to warn her off. With love fading and Ruthie perhaps beyond help, Or's choices narrow."
64,9779804,15 Years,2019,Drama,"Yoav's demons start haunting him after his best friend becomes pregnant without telling him, and after his boyfriend of 15 years starts talking about children too. His life unravels, and self-destruction seems inevitable."
65,92626,Beauty and the Beast,1987,"Family, Fantasy, Musical","To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast."
66,82528,Hot Bubblegum,1981,"Comedy, Drama, Romance","Momo and Yudale take turns mounting Bentzi's foreign buxom cousin, but Yudale and her get stuck together. Momo raises the bar even further by proving the rumors of an accepting older buxom piano tutor, Fritzi. Bentzi looks for love."
67,4534598,Legend of Destruction,2021,Animation,"The film ""Legend of destruction"" tells the story of the Jewish revolt against Rome which ended with the destruction of the Temple in the year 70."
68,2309224,Big Bad Wolves,2013,"Drama, Horror, Thriller","After a little girl is brutally murdered, a suspect avoids arrest due to lack of evidence. Working separately, her father and a cop decide to do something about it."
69,155197,Speedway Junky,1999,"Crime, Drama, Romance","Johnny wants to be a stock car racer one day. He meets a young, gay hustler in Vegas, who takes him to meet his friends/gang and his ""mom"", an ex hooker etc."
70,91019,Every Time We Say Goodbye,1986,"Drama, Romance, War","A Protestant World War II pilot and a Jewish girl fall in love in Jerusalem, even though their diverse backgrounds threaten to pull them apart."
71,5791098,Tel Aviv on Fire,2018,"Comedy, Drama, Romance",Salam is a consultant on a popular Palestinian TV series filmed in Ramallah who rather stupidly runs afoul of an Israeli checkpoint commander who uses his military influence to begin to manipulate Salam and the writing of the show.
72,2926810,ABCs of Death 2,2014,"Comedy, Horror",Another 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.
73,2734854,Urban Tale,2012,Drama,"A boy and a girl wake up in bed one morning, naked. The children's mother died a few weeks earlier. Before she died she asked her children to find their birth father who left them when they were still babies. Their quest in search of their father leads them to hospitals, nursing homes and holding cells. In the course of the quest the brother and sister meet people who provide them - like in parallel quantum universes - a glance into what their future lives may hold for them. Is this a world suitable for these two young souls? Will they change their nature in order to survive? Based on a true story, this independent film is unique in its cinematic storytelling, provocative and sometimes non politically correct, yet on the other hand thought provoking and soul penetrating."
74,83637,Boy Meets Girl,1982,"Biography, Drama","Two doctors from Tel Aviv join 'Doctors Without Borders' and travel to Thailand to help out Cambodian refugees. They leave their daughter, Aya (aged 10) at a kibbutz where the children are housed by age, but not gender. Not only does she have to get used to dealing with a lot of children, making friends and enemies, she has to get used to sharing her room with boys. And sharing the showers with them too."
75,782867,The Secrets,2007,"Drama, Romance","Two brilliant young women discover their own voices in a repressive orthodox culture where females are forbidden to sing, let alone speak out."
76,69786,Billy Two Hats,1974,"Romance, Western","After a bank robbery, runaway Scottish outlaw Arch Deans and his young half breed Kiowa partner Billy Two Hats develop a father-son relationship but Sheriff Henry Gifford is determined to capture or kill them."
77,4935158,Demon,2015,"Comedy, Drama, Fantasy","A bridegroom is possessed by an unquiet spirit in the midst of his own wedding celebration, in this clever take on the Jewish legend of the dybbuk."
78,443570,Liebesleben,2007,Drama,A married young academic falls under the sexual thrall of a much older man whose air of jaded ennui conceals a secret desire for vengeance...
79,7016254,Synonyms,2019,"Comedy, Drama","A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary."
80,7252000,Maktub,2017,"Comedy, Drama","The biggest Israeli blockbuster since 1986 . Steve and Chuma , two criminals are the sole survivors of a terrorist attack at a restaurant in Jerusalem. They decide to change their ways and become flesh and blood angels. They go on a journey of wish fulfillment for people who write requests on paper and put between the sacred stones of the Wailing Wall."
81,334754,Yossi & Jagger,2002,"Drama, Romance, War","Romance blooms between two soldiers (Knoller, Levi) stationed in an Israeli outpost on the Lebanese border."
82,6723102,Broken Mirrors,2018,Drama,"Shadowed by a strict, military father who inflicts severe methods of punishment as a form of discipline, seventeen year old Ariella commits a grave error that her father isn't willing to punish her for. Seeking a punishment of her own, Ariella embarks on a dark quest where she will discover a secret to her father's past that will lead them to confront one another."
83,6383494,Holy Lands,2017,"Comedy, Drama","Harry Rosenmerck, an Ashkenazi Jewish American cardiologist, left everything to become a pig farmer in the Holy Land."
84,14406360,Upon Her Lips: Pure Feels,2021,Drama,"From Germany to Israel, Sweden to Brazil, girls and women face up to their wants and desires - their passions past, and lovers present. A mix of laughter, tears and warm inside feels, come and enjoy these tales and fall in love with the stories upon her lips."
85,4830786,The Cakemaker,2017,"Drama, Romance",A German pastry maker travels to Jerusalem in search of the wife and son of his dead lover.
86,376007,Nina's Tragedies,2003,"Comedy, Drama",The taboo relationship between young Nadav and his Aunt Nina transcends definition on its way to odd highs and lows.
87,10032266,Asia,2020,Drama,"Despite living together, Asia barely interacts with her daughter Vika. Their routine is shaken when Vika's health deteriorates rapidly. Asia must step in and become the mother Vika so desperately needs"
88,1754000,Rabies,2010,Horror,"A brother and sister who run away from home find sanctuary in a deserted nature reserve. When the sister falls into the trap of a psychopathic killer, the brother sets out on a race against time to find help. In a twist of fate the rescue of the sister becomes inadvertently intertwined with the lives of a group of young tennis players, a ranger and his dog, as well as a team of policemen."
89,7175968,My Neighbor Adolf,2022,"Comedy, Drama","South America, 1960. A lonely and grumpy Holocaust survivor convinces himself that his new neighbor is none other than Adolf Hitler. Not being taken seriously, he starts an independent investigation to prove his claim, but when the evidence still appears to be inconclusive, Polsky is forced to engage in a relationship with the enemy in order to obtain irrefutable proof."
90,2204370,Closed Season,2012,Drama,"""Ende der Schonzeit,"" set in 1942, tells the story of Fritz and Emma, who are hiding Jewish refugee Albert at their remote farm in the Black Forest. Since his marriage with Emma has remained childless, Fritz uses this opportunity to suggest an unorthodox deal: He asks Albert to sleep with his wife and conceive a child on his behalf. Against the background of war and escape an unpredictable drama of jealousy and sexuality unfolds that turns offenders into victims and vice versa."
91,201485,The Body,2001,"Drama, Mystery, Romance",A crucified body dated back to the first century A.D is uncovered at an ancient cave in Jerusalem. Trouble ensues as word spreads.
92,14300518,Karaoke,2022,"Comedy, Drama","A bittersweet comedy about a middle-class suburban couple in their 60s who are drawn to their new neighbor, a charismatic bachelor who has karaoke evenings at his apartment."
93,3421738,Kicking Out Shoshana,2014,"Comedy, Sport","After falling for a dangerous mobster's girlfriend, a famous athlete puts in motion a wild and comical ruse that will open his eyes to a reality to which stardom had previously blinded him."
94,445620,Paradise Now,2005,"Crime, Drama, Thriller",Two childhood friends are recruited for a suicide bombing in Tel Aviv.
95,4365518,Sand Storm,2016,Drama,"When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way."
96,8563656,Happy Times,2019,"Action, Comedy, Horror",A seemingly friendly dinner party erupts into a night of violence and terror at a lush Hollywood estate.
97,479341,Adam Resurrected,2008,"Drama, War","In the aftermath of World War II, a former circus entertainer who was spared from the gas chamber becomes the ringleader at an asylum for Holocaust survivors."
98,1674773,Hannah Arendt,2012,"Biography, Drama","A look at the life of philosopher and political theorist Hannah Arendt, who reported for 'The New Yorker' on the trial of the Nazi leader Adolf Eichmann in Jerusalem."
99,1445520,Footnote,2011,"Comedy, Drama","Eliezer and Uriel Shkolnik are father and son as well as rival professors in Talmudic Studies. When both men learn that Eliezer will be lauded for his work, their complicated relationship reaches a new peak."
100,424365,Promised Land,2004,"Drama, Thriller","""Promised Land"" tells the story of a group of young unwitting Estonian girls smuggled through Egypt to be auctioned off as prostitutes in Israel, and of their initiation into this trade of flesh, and finally of the accidental freeing of one girl who most fight for her freedom."
101,86926,Baby Love,1983,"Comedy, Drama, Romance","Benny falls in love with his best friend's little sister. They hide it from her brother, who is trying to protect her."
102,77886,Madman,1978,Drama,"While trying to escape from the Soviet Union, a Soviet Jewish man is locked in a mental institution, where he gets brutally tortured for several years. After his release, he's able to defect to Israel, and gets the chance to join the Israeli Army, even though he's not in good condition to fight. His next plan is to seek revenge against the Russians, but first he needs to go to another conflict on the Syrian border, far from where his enemies are."
103,76261,Vengeance,1977,Western,Tom's parents are killed by Mexicans after their leader (Van Cleef) rapes his mother as he watched. He sets out to exact revenge and is ultimately helped by a successful gold prospector who has been robbed by the same group.
104,133351,Alex Holeh Ahavah,1986,"Comedy, Drama, Romance","This romantic comedy takes place in Israel during the Austerity period of the 1950s as 13-year-old Alex is about to attend his Bar Mitzvah. Alex has a typical Polish mother and father who suffer quietly in their apartment which because of the difficult economic situation they are compelled to share with a Persian tenant named Faruk who tries to fight his baldness with different creams. Alex falls in love with the new girl in his class, Mimi. Everything changes when his aunt Lola arrives in Israel from Poland to search for lost love. They were together when she lived in Poland but he vanished when Nazis conquered the country. Alex falls for his aunt and she gives him more than just maternal love. The film describes exactly the ambiance that dominated the country in 1950s Austerity Israel--the black markets, the radio broadcasts concentrating on the search for lost relatives, the music of the 1950s, the clothes and dresses and pastimes."
105,99312,Cover-Up,1991,"Action, Thriller",An ex-U.S. marine journalist battles against time to save lives after uncovering a terrorist plot.
106,92954,Young Love: Lemon Popsicle 7,1987,Comedy,"Johnny, Bobbi and Benni are looking forward to a summer of hot girls and fast cars--especially when Johnny's parents leave him alone in the house."
107,274470,Dot and the Kangaroo,1977,"Animation, Family, Fantasy",A young girl gets lost in the Australian outback and befriends a kangaroo
108,72877,Diamonds,1975,"Crime, Drama","Richard Roundtree (SHAFT), Robert Shaw (JAWS) and $100 Million of the Hottest Rocks in the World!"
109,6458566,Esau,2019,Drama,"A 40-year-old writer returns to his family house where he was raised and that he escaped after half a lifetime - to face his brother who stayed instead, inherited their family bakery and married the woman who they both loved."
110,423310,Syrian Bride,2004,"Comedy, Drama","In Majdal Shams, the largest Druze village in Golan Heights on the Israeli-Syrian border, the Druze bride Mona is engaged to get married with Tallel, a television comedian that works in the Revolution Studios in Damascus, Syria. They have never met each other because of the occupation of the area by Israel since 1967; when Mona moves to Syria, she will lose her undefined nationality and will never be allowed to return home. Mona's father Hammed is a political activist pro-Syria that is on probation by the Israeli government. His older son Hatten married a Russian woman eight years ago and was banished from Majdal Shams by the religious leaders and his father. His brother Marwan is a wolf trader that lives in Italy. His sister Amal has two teenager daughters and has the intention to join the university, but her marriage with Amin is in crisis. When the family gathers for Mona's wedding, an insane bureaucracy jeopardizes the ceremony."
111,170705,Train of Life,1998,"Comedy, Drama, War","In 1941, the inhabitants of a small Jewish village in Central Europe organize a fake deportation train so that they can escape the Nazis and flee to Palestine."
112,5069012,People That Are Not Me,2016,"Drama, Romance","Joy can't let go of her ex, but doesn't seem to be able to fall for the new guy. In the meantime she keeps having casual sex with strangers."
113,2915160,Bethlehem,2013,"Drama, Thriller, War","Tells the story of the complex relationship between an Israeli Secret Service officer and his teenage Palestinian informant. Shuttling back and forth between conflicting points of view, the film is a raw portrayal of characters torn apart by competing loyalties and impossible moral dilemmas, giving an unparalleled glimpse into the dark and fascinating world of human intelligence."
114,1234240,Antarctica,2008,"Drama, Romance","In two days, Omer will hit a milestone; his 30th birthday. Like many his age, he hasn't found himself. But then Omer is hardly looking. Instead he chooses to loose himself among the stacks of books at the local library, where he works. It is a respite from real life. From time to time he goes on blind dates. He meets Danny on one of his dates. 20 years old and full of enthusiasm, Danny dreams of becoming a dancer. Shirley, Omer's little sister, has her own problems. Aside from being Omer's greatest annoyance, she is in an unconventional relationship with, Michal, owner of the city's hippest coffeehouse and her boss. Just when it seems that Omer has completely lost his spark and all seems lost, Enter Ronen, the handsome journalist who ignites the flame Omer has been seeking. Everyone is hoping for a change. They are waiting for the light. The light that will thaw their frozen hearts. But only one person has the answer, Matilda Rose, the alien loving best-selling novelist can solve the issue; Is love dead or are we just looking in all the wrong places?"
115,8135564,Here We Are,2020,Drama,"Aharon has devoted his life to raising his son Uri. They live together in a gentle routine, away from the real world. But Uri is autistic, and now as a young adult it might be time for him to live in a specialized home. While on their way to the institution, Aharon decides to run away with his son and hits the road, knowing that Uri is not ready for this separation. Or is it, in fact, his father who is not ready?"
116,443448,O Jerusalem,2006,"Drama, History","A tale of friendship between two men, one Jewish and the other Arab, as the country of Israel is being created."
117,2219514,Fill the Void,2012,"Drama, Romance","When the older sister of Shira, an 18-year-old Hasidic Israeli, dies suddenly in childbirth, Shira must decide if she can and should marry her widowed brother-in-law, which also generates tensions within her extended family."
118,12210288,The Raft,2020,"Adventure, Drama","Three Israeli teens decide to build a raft and sail to the championship final in Cyprus. During their journey, their friendship will be put to the test as they will get a taste of first love and discover traits and skills in themselves that they didn't know existed. The innocent adventure evolves into a coming of age journey they will never forget."
119,14037312,Perfect Strangers,2021,"Comedy, Drama","7 Childhood friends meet up for dinner on the night of an eclipse. During which they play a game where whatever call, text and message they get on their phone must be shared with everyone and soon discover, no one is who they say they are."
120,20114364,Upon Her Lips: Butterflies,2022,Drama,"That feeling of apprehension, of doubt - the sensation of butterflies before taking the plunge. Five women and the objects of their affection face up to their futures in these thoroughly modern tales of lesbian love."
121,3576084,Zero Motivation,2014,"Comedy, Drama",A unit of female Israeli soldiers at a remote desert base bide their time as they count down the minutes until they can return to civilian life.
122,17076682,Concerned Citizen,2022,"Comedy, Drama","Centers around Ben, a politically liberal, gay man who tries to improve his neighborhood in the slums of south Tel Aviv by planting a tree on his street."
123,76398,Operation Thunderbolt,1977,"Action, Drama, History","In July 1976, an Air France flight from Tel-Aviv to Paris via Athens was hijacked and forced to land in Entebbe, Uganda. The Jewish passengers were separated and held hostage in demand to release many terrorists held in Israeli prisons. After much debate, the Israeli government sent an elite commando unit to raid the airfield and release the hostages. This movie is based on the true facts and follows the events since the flight's take-off and until the hostages' return to Israel."
124,189630,Kadosh,1999,Drama,"Two sisters become victims of the patriarchal, ultra-orthodox society."
125,426279,Ve'Lakhta Lehe Isha,2004,Drama,"The story takes place in Haifa, Israel, in 1979, during three days before the Shabbat. A young woman trying to raise three children, work from home, and observe the strict Moroccan traditions of her family finds herself at constant odds with her husband and her brothers, who want her to stay married and leave behind the notions of being loved and free."
126,76121,Ha-Gan,1977,Drama,"An old man tends his garden under the threat of encroaching urbanization. In wanders a beautiful tourist, dazed and naked after a sexual assault, and he mistakes her for an angel."
127,871512,Disengagement,2007,Drama,"A political drama centered around Israel's pullout from the occupied Gaza strip, in which a French woman of Israeli origin comes to the Gaza Strip to find her long ago abandoned daughter."
128,11680668,The Israeli Boys,2020,Drama,"Secrets, lies, surprises and more are explored in this rich selection of gay short films from Israel."
129,7637180,Fractures,2018,Drama,"Oded, a renowned professor and scientific researcher, is on his way to receiveing a prestigious award, accompanied by his wife Merav. A call comes in from the police, asking him to stop by to answer a few questions. In an instant, their world crumbles. Noa, an under graduate student of his, has placed charges of sexual coercion. After a confrontation with Noa he denies any romantic liaisons. He is forced to confess lying about their affair after being presented with evidence and advised by the family's attorney. This results in a harsh reckoning with his wife Merav at the police station. The media gets wind of the story and the resulting shaming in the social networks hits hard, and alerts their youngest son, who demands explanations. Noa's life is not left unscathed, having to confront both her mother, who demands she'll cover up the whole thing, and Merav who pressures her into putting a stop to this disaster. The film takes place in a single day, where the family's life comes apart. Merav maneuvers between her anger at Oded, who she blames of ignoring her their entire relationship, and the need to protect her family. She stands by Oded, knowing their lives will never be the same again."
130,7769310,Red Cow,2018,Drama,"Red Cow is a coming-of-age film that takes place in the days leading up to the assassination of Rabin and depicts the life of Benny, 16, orphaned from mother at birth and the only child of Joshua - a religious, right-wing extremist, in those critical junctures when she is forming her sexual, religious and political awareness."
131,75043,The Passover Plot,1976,Drama,"Dramatization of the controversial best-seller that posits an alternate version of the birth of Christianity. In this version, Jesus planned for His crucifixion by taking a drug that would simulate death. After His unconscious body was placed in the tomb, a religious sect known as the Zealots would secretly steal Christ's body from the tomb, then spread the rumor that He had risen, thus fulfilling Biblical prophecy."
132,85642,Hanna K.,1983,Drama,An Israeli lawyer is defending a Palestinian charged by The Military Court System in the Israeli-Occupied Territories. It's a tough case because of a strong political background.
133,1037163,The Time That Remains,2009,"Drama, History",An examination of the creation of the state of Israel in 1948 through to the present day.
134,9857480,Golden Voices,2019,"Comedy, Drama, Romance","Victor and Raya Frenkel were the golden voices of the Soviet film dubbing for decades. All the western movies that reached Soviet screens were dubbed by them. In 1990, with the collapse of Soviet Union, the Frenkels decided to do Aliyah - immigrate to Israel, just like hundreds of thousands of Soviet Jews. There's no need in Israel for Russian speaking dubbing artists, and Victor's and Raya's attempts to use their talent will cause bizarre and unexpected events during their first months in Israel, and turn the beginning of the new chapter of their life into an amusing, painful, and absurd experience."
