,Unnamed: 0,Title,Year,Genre,Synopsis,IMDb id,Wiki Title,Wiki Plot,Wiki Summary
296,296,Adam Resurrected,2008,Comedy,"An army sergeant (Topol) narrates in flash-backs his love adventures with several women, including some women soldiers.",479341,Adam Resurrected,"The film, part of which is told through a series of flashbacks, follows the story of Adam Stein (Jeff Goldblum), a charismatic patient of a fictitious psychiatric asylum for Holocaust survivors in Israel, in 1961. Adam was a comedian in Berlin prior to the Second World War, during which he was sent to a concentration camp. Adam manages to survive the war only because his pre-war act was recalled by an SS officer (Willem Dafoe), who takes Adam as his ""pet,"" insisting he act like a dog (as he did during one of his sketches). His humiliation was his ticket to survival, as he was even forced to play the fiddle as his wife and daughter were led to the gas chambers. While he is outwardly charming and witty, Adam is tormented by survivor's guilt and delusions that he is a dog. During his time at the institution, he carries on an affair with a nurse (Ayelet Zurer), becomes a quasi-mentor to a younger patient with the same delusion of dog-hood, and has a discovery of psychic ability when he experiences a religious ecstasy as a possible messiah to the other patients.","Adam Resurrected (Hebrew: אדם בן כלב, romanized: Adam Ben Kelev) is a 2008 drama film directed by Paul Schrader and adapted from Yoram Kaniuk's novel of the same name published in Israel in 1968 (the book's original name literally means ""Adam, son of a dog"").
Jeff Goldblum stars as the title character, alongside Willem Dafoe, Derek Jacobi and Ayelet Zurer. Several major German stars, including Moritz Bleibtreu, Veronica Ferres, Juliane Köhler and Joachim Król, play supporting roles.

"
297,297,Ha-Tarnegol,1971,"Drama, War","In the aftermath of World War II, a former circus entertainer who was spared from the gas chamber becomes the ringleader at an asylum for Holocaust survivors.",142898,List of Israeli films of 1971,,"A list of films produced by the Israeli film industry in 1971.

"
298,298,Kedma,2002,"Comedy, Drama","The biggest Israeli blockbuster since 1986 . Steve and Chuma , two criminals are the sole survivors of a terrorist attack at a restaurant in Jerusalem. They decide to change their ways and become flesh and blood angels. They go on a journey of wish fulfillment for people who write requests on paper and put between the sacred stones of the Wailing Wall.",304267,Kedma (film),,"Kedma is a 2002 Israeli film directed by Amos Gitai and starring Andrei Kashkar and Helena Yaralova. It was entered into the 2002 Cannes Film Festival.

"
299,299,Maktub,2017,"Drama, History, War","In May 1948, shortly before the creation of the State of Israel, hundreds of immigrants from across Europe arrive in Palestine--only to risk arrest by British troops.",7252000,Maktub (film),,"Maktub is a 2017 Israeli comedy film directed by Oded Raz and written by Guy Amir and Hanan Savyon. The plot revolves around two gangsters, Steve (Hanan Savyon) and Chuma (Guy Amir). When visiting a restaurant in Jerusalem, a terrorist attack kills everyone at the restaurant except them. This event makes Steve and Chuma reevaluate what they do for a living.

"
300,300,The War Has Ended,,Drama,"The 1956, a few years after the War of Independence and the establishment of the State of Israel. Immigration is at its peak, transit camps are scattered throughout the country. This is the story of one platoon at Training Base 4, a three-month boot camp boot comprised of conscripts from Ashkenazi Jews, new immigrants from North Africa and Europe, Holocaust survivors, as well as both secular and religious individuals. All the platoon members are physically unfit or mentally disabled. They find themselves on the extreme margins of society, at the bottom of the social ladder, and dream of ascending to the top. Common precepts such as ""melting pot,"" ""team spirit,"" and ""one for all and all for one,"" remain unfulfilled. This is a battle for the individual's survival, a war for status, identity, and independence. A battle to attain the loftiest dreams, a war waged by individuals against their destiny.",9351158,Warwick Davis filmography,,"Warwick Davis (born 1970) is an English actor. He made his acting debut as Wicket W. Warrick in the Star Wars film Return of the Jedi (1983). He reprised the role in two television spin-offs: Caravan of Courage: An Ewok Adventure (1984) and Ewoks: The Battle for Endor (1985). He has since appeared in several Star Wars films, portraying numerous different characters, usually in cameos. He appeared in the cult-classic  Labyrinth (1986). He then played the protagonist in the Ron Howard-directed Willow (1988). In 1993, he portrayed the villainous Lubdan in Leprechaun. He returned to the role in Leprechaun 2 (1994), Leprechaun 3 (1995), Leprechaun 4: In Space (1996), Leprechaun in the Hood (2000), and Leprechaun: Back 2 tha Hood (2003).
In 2005, he played Marvin the Paranoid Android in The Hitchhiker's Guide to the Galaxy.

"
301,301,Hitganvut Yehidim,2010,"Drama, Thriller","An impossible love story between Yossi, a former IDF soldier, and Dora, a mysterious French photographer visiting Israel, as they both struggle in vain to leave their pasts behind",1676681,Michael Aloni,,"Michael Mark Aloni (or Alony; Hebrew: מיכאל אלוני; born 31 January 1984) is an Israeli actor, director, writer and television presenter."
302,302,Paradise Cruise,2013,"Drama, Romance","A married, Orthodox, Jerusalem butcher and Jewish father of four falls in love with his handsome, 22-year-old male apprentice, triggering the suspicions of his wife and the disapproval of his Orthodox community.",2252614,Rock of Ages (2012 film),,"Rock of Ages is a 2012 American jukebox musical comedy film directed by Adam Shankman and based on the rock jukebox Broadway musical Rock of Ages by Chris D'Arienzo. Starring Julianne Hough and Diego Boneta in his film debut leading an ensemble cast that includes Russell Brand, Alec Baldwin, Paul Giamatti, Catherine Zeta-Jones, Malin Åkerman, Mary J. Blige, Bryan Cranston and Tom Cruise, the film features the music of many 1980s rock and glam metal artists including Def Leppard, Journey, Scorpions, Poison, Foreigner, Guns N' Roses, Pat Benatar, Joan Jett, Bon Jovi, Twisted Sister, Whitesnake, REO Speedwagon, and others.
Originally scheduled to enter production in summer 2009 for a 2011 release, it eventually commenced production in May 2011 and was released on June 15, 2012. The film received mixed critical reviews and was a box-office bomb, grossing only $59 million worldwide on a $75 million budget. However, Cruise was particularly lauded for his performance of ""Pour Some Sugar on Me"" and ""Wanted Dead or Alive"". The related film soundtrack also did critically well, debuting at #1 on the Billboard Top Soundtracks chart.

"
303,303,Einayim Petukhoth,2009,"Comedy, Drama","At thirty-seven, Miri is a twice-widowed, El Al flight attendant. Her well-regulated existence is suddenly turned upside down by an abandoned Chinese boy whose migrant-worker mother has been summarily deported from Israel. The film is a touching comic-drama in which two human beings -- as different from each other as Tel Aviv is from Beijing -- accompany each other on a remarkable journey, one that takes them both back to a meaningful life.",1424327,Eyes Wide Open (film),,"Eyes Wide Open (Hebrew: עיניים פקוחות, translit. Einayim Pkuhot) is a 2009 Israeli film. This script was written by the Israeli script-writer Merav Doster. It is the first film of the Israeli film director Haim Tabakman. The film was released in the UK on May 14, 2009 by Peccadillo Pictures The film was co-produced in Israel, France and Germany.

"
304,304,Yotzim Kavua,1979,"Comedy, Romance","Teenage romande, parties and sex in 1950s Tel Aviv. Music is at the core of the lives of these teenagers. This iscomedy about three friends.",79218,Going Steady (1979 film),,"Going Steady (Israeli: Yotzim Kavua) is a 1979 Israeli film. It is the second in the Lemon Popsicle film series.

"
305,305,Noodle,2007,Drama,A magician/puppeteer tries to make life more bearable for a young refugee girl displaced by World War II.,892332,Noodle (film),,"Noodle (Hebrew: נודל) is a 2007 Israeli film directed by Ayelet Menahemi, written by Shemi Zarhin and Ayelet Menahemi, and starring Mili Avital, Chen Baoqi, and Alon Aboutboul.

"
306,306,Barren,2022,Drama,"A childless young ultra-orthodox couple faces a crisis after a traumatic treatment for barrenness. When the difference between good and bad is unclear, the family must deal with unresolved secrets that raise fundamental questions about religion and faith.",21237894,The Reef (2010 film),,"The Reef is a 2010 Australian horror film. The film was written and directed by Andrew Traucki, his second feature film (the first being Black Water), and is about a group of friends who capsize while sailing to Indonesia. The group decides that their best bet for survival is to swim to a nearby island but they find themselves stalked by a great white shark.

"
307,307,Sipur Ahava Eretz-Israeli,2017,"Drama, History",A love story based on actual events set during the turbulent period of pre-state Israel 1947-48.,6077176,Beit Keshet,,"Beit Keshet (Hebrew: בֵּית קֶשֶׁת, lit. House of the Bow) is a kibbutz in northern Israel. Located to the east of Nazareth, it falls under the jurisdiction of Lower Galilee Regional Council. As of 2019 its population was 712. It is located immediately opposite the Al-Tujjar Caravansarai."
308,308,Tmunat Hanitzahon,2021,"Drama, History, War","Inspired by true events in 1948. Hassanin, an Egyptian filmmaker, is tasked with documenting a raid on the isolated kibbutz Nitzanim. When the kibbutz learns of the impending army raid, Mira, a young but valiant mother, is forced to reckon with the true cost of war and make an impossible choice.",14556392,NA,NA,NA
309,309,Black Jack,1968,Western,"Following the robbery of a bank in the Wild West a gang gathers around Jack Murphy, their leader. Things go awry when Skinner, Reb, Mathias and the brothers, Bill and Gordon, realize Jack will divide the loot for his own good only. Furious with him, they decide to betray him and it is not long before they take action. They torture him and leave him for dead while his sister is raped and killed. But Jack survives and goes for revenge.",62736,NA,NA,NA
310,310,Ende der Schonzeit,2012,Drama,"""Ende der Schonzeit,"" set in 1942, tells the story of Fritz and Emma, who are hiding Jewish refugee Albert at their remote farm in the Black Forest. Since his marriage with Emma has remained childless, Fritz uses this opportunity to suggest an unorthodox deal: He asks Albert to sleep with his wife and conceive a child on his behalf. Against the background of war and escape an unpredictable drama of jealousy and sexuality unfolds that turns offenders into victims and vice versa.",2204370,Maximilian Mauff,,"Maximilian ""Max"" Mauff (born 3 July 1987) is a German actor.

"
311,311,Hagiga B'Snuker,1975,Comedy,"The story is about two twin brothers, Azriel and Gavriel (both played by Yehuda Barkan). Azriel is a shy and religious Jew who works in a fruit shop in Jaffa. Gavriel, is a hoodlum and a good-for-nothing hustler who runs a Snooker Bar. Gavriel and his friend Hanuka make easy money by swindling innocent people into gambling on Snooker games. One day Gavriel is forced to renew contact with his brother, because he is in trouble with a gangster who won the bet on a snooker game, and the only way to pay is by selling the family estate which is co-owned by Gavriel and his brother Azriel.",152492,Hagiga B'Snuker,,"Hagiga B'Snuker (Hebrew: חגיגה בסנוקר, lit. Party at the Snooker; originally simply Snooker) is a 1975 Israeli cult film, one of the classic Bourekas films. The movie was directed by Boaz Davidson and stars Israeli comedians Ze'ev Revach, Yehuda Barkan and Yosef Shiloah.

"
312,312,The House on Fin Street,2021,Drama,"Written and directed by Amir Manor (Epilogue), the film follows Dina, a young Russian girl from south Israel, who cleans toilets in her town's central bus station. She falls in love with Yehuda, a Tel Avivian charmer, and moves with him to the big city. Little does she know that he is nothing but a pimp who recruits young girls for the sex industry.",4365590,Shark fin soup,,"Shark fin soup is a traditional soup or stewed dish served in parts of China, Taiwan, and Southeast Asia. The shark fins provide texture, while the taste comes from the other soup ingredients. It is commonly served at special occasions such as weddings and banquets, or as a luxury item.The soup originated centuries ago during the Song dynasty in China, serving the imperial family and court members. During the Ming dynasty, the dish's popularity increased and by the time of the Qing dynasty shark fin soup was in high demand. After the nineteenth century, the soup became a highly sought-after dish as income levels of Chinese communities increased around the world.However, it has been condemned by the Humane Society International, which states that approximately 72 million sharks are killed each year for their fins. Currently, international concerns over the sustainability and welfare of sharks have impacted consumption and availability of the soup worldwide. Recently, health concerns about the high concentration of BMAA in shark fins have arisen.
Shark fin soup substitutes have lately appeared on the market which do not require any shark fins, thus avoiding the environmental damage caused by the shark finning practice.

"
313,313,Hametim shel yafo,2019,Drama,"Three children from the West Bank are smuggled into Israel, arriving at the doorstep of George and Rita's house in Jaffa. Their mother is dead, and their father has been sentenced for life. As Israeli Palestinians, George is afraid that hiding illegal aliens will endanger Rita and himself, while Rita believes the arrival of these children could give meaning to her life. Nearby, a foreign film is being shot. Jerry, an English director, is making a movie about his parents' love affair in 1947, when they served in the British army in Palestine. George is invited to play a part. When the two stories intertwine, tensions erupt.",10660366,The Dead of Jaffa,,"The Dead of Jaffa (Hametim shel yafo) is an Israeli drama film directed by Ram Loevy. The film premiered at the 2019 Jerusalem Film Festival. It was nominated for the Ophir Award for Best Film.

"
314,314,Lebanon,2009,Drama,"Chara loves her family, and yet she sometimes ponders a life without them. A hesitant friendship with a shy and defiant girl inexorably forces her to confront her existential angst and face a painful past that she's been trying to forget.",1483831,Lebanon (2009 film),,"Lebanon (Hebrew: לבנון Lvanon; called Lebanon: The Soldier's Journey in the UK) is a 2009 internationally co-produced war film directed by Samuel Maoz. It won the Golden Lion at the 66th Venice International Film Festival, becoming the first Israeli-produced film to have won that honour. In Israel itself the film has caused some controversy. The film was nominated for ten Ophir Awards, including Best Film. The film also won the 14th Annual Satyajit Ray Award.Maoz based the film on his experience as a young Israeli conscript during the 1982 Lebanon War. The British newspaper The Guardian has described it as an anti-war film.

"
315,315,Patchwork,2021,"Drama, War","During the First Lebanon War in 1982, a lone tank and a paratroopers platoon are dispatched to search a hostile town.",10827792,Vikram (2022 film),,"Vikram is a 2022 Indian Tamil-language action thriller film written and directed by Lokesh Kanagaraj and produced by Raaj Kamal Films International. The film stars Kamal Haasan, Vijay Sethupathi and Fahadh Faasil. Kalidas Jayaram, Narain and Chemban Vinod Jose play supporting roles while Suriya makes a cameo appearance. The film's soundtrack and score are composed by Anirudh Ravichander, with cinematography handled by Girish Gangadharan and editing done by Philomin Raj. The film serves as the second installment in the Lokesh Cinematic Universe (LCU). The plot follows a black-ops squad led by Agent Vikram, in which he aims a drug syndicate group called Vetti Vagaiyara, led by Sandhanam, who wants the missing drugs to be delivered to his cold-blooded boss Rolex.
The film is a spin off of the 1986 film of the same name and also shares a Cinematic Universe  with Kaithi (2019). The film also features a remixed version of the theme song from the 1986 film. Principal photography began in July 2021 and ended in February 2022 with filming taking place across Tamil Nadu including Karaikudi, Chennai, Pondicherry, and Coimbatore. Vikram was released theatrically on 3 June 2022, and generally received positive reviews from critics, praising the film's narrative style, action sequences, technical aspects and cast performances (particularly Kamal Haasan, Fahadh Faasil and Vijay Sethupathi). The film grossed ₹442.45 crore (US$58 million) and went on to become the highest-grossing Tamil film of the year and fourth highest-grossing Tamil film of all time."
316,316,The Kind Words,2015,Drama,Follows three siblings who are going to discover the greatest secret of their late mother. This trip is going to change their lives.,3809478,NA,,"The Kind Words (Hebrew: המילים הטובות) is a 2015 Israeli drama film directed by Shemi Zarhin. It was nominated for Best Film at the 2015 Ophir Awards. It was screened in the Contemporary World Cinema section of the 2015 Toronto International Film Festival.

"
317,317,Land of the Little People,2016,"Adventure, Drama, Thriller",Four young kids who clash with two army deserters in a fight over territory.,3444008,Lion (2016 film),,"Lion is a 2016 Australian biographical drama film directed by Garth Davis (in his feature directorial debut) from a screenplay by Luke Davies based on the 2013 non-fiction book A Long Way Home by Saroo Brierley. The film stars Dev Patel, Sunny Pawar, Rooney Mara, David Wenham, and Nicole Kidman, as well as Abhishek Bharate, Divian Ladwa, Priyanka Bose, Deepti Naval, Tannishtha Chatterjee, and Nawazuddin Siddiqui. It tells the true story of how Brierley, 25 years after being separated from his family in India, sets out to find them. It is a joint production between Australia and the United Kingdom.
The film, which had its world premiere at the Toronto International Film Festival on 10 October 2016, was given a limited release in North America on 25 November 2016, by The Weinstein Company before opening generally on 6 January 2017. It was released in Australia on 19 January 2017 and in the United Kingdom on 20 January 2017.
Lion was well-received by critics, with praise for the acting (particularly from Patel and Kidman), emotional weight, visuals, cinematography and screenplay; it received six Oscar nominations at the 89th Academy Awards, including Best Picture, Best Supporting Actor (Patel), Best Supporting Actress (Kidman), and Best Adapted Screenplay. It won two BAFTA Awards for Best Supporting Actor (Patel) and Best Adapted Screenplay. The film was also commercially successful, making $140 million worldwide, becoming one of the highest-grossing Australian films of all time.

"
318,318,Hor B'Levana,1964,Comedy,"A new immigrant, Tzelnik, arrives at the port of Jaffa. He goes to live in the Negev desert where he opens a kiosk in the middle of nowhere. Mizrachi comes along and opens a competing business across the way. The two make a living by selling to each other. As there is nothing there, they decide to create a world out of their imagination. They build a cardboard film set, which slowly takes on real dimensions- the buildings turn to concrete, people come to audition for parts in the ""film"" (cinema 'verite' style, with Zohar mocking viciously the pretensions of the ""actresses"") and builders come to void apartment buildings (mocking the glorification of concrete and ""heroic"" settlement). In one sequence, Arab actors come and ask the filmmakers turn positive to negative, and they're given the role of pioneers who plow the land and sing Zionist songs. The imagined world of the filmmakers becomes so real eventually they lose sight of the thin line between fantasy and reality.",58206,List of Israeli films of 1964,,"A list of films produced by the Israeli film industry in 1964.

"
319,319,Zohi Sdom,2010,Drama,"Under a military curfew, Salah sets out on the road to cross the Israeli border carrying his dead son Omar in a bag. Miri, a pregnant single woman, decides to help him out at all costs.",1675197,Zohi Sdom,,"Zohi Sdom (Hebrew: זוהי סדום, lit. 'This is Sodom') is an Israeli comedy feature film released on August 5, 2010. It was conceived and created by the team behind the television programme, Eretz Nehederet, and directed by Muli Segev and Adam Sanderson. According to official figures, the movie was the most-watched Israeli film in the 25 years preceding it, with over half a million local tickets sold.The film is a comical depiction of the Biblical story of Sodom and Gomorrah. It is centered on the families of Lot, the only righteous man in Sodom, and Bera the king of Sodom.

"
320,320,Abu Omar,2020,"Crime, Drama, Thriller",Two childhood friends are recruited for a suicide bombing in Tel Aviv.,13603598,Omar (film),,"Omar (Arabic: عمر, romanized: ʻUmar) is a 2013 Palestinian drama film directed by Hany Abu-Assad. It was screened in the Un Certain Regard section at the 2013 Cannes Film Festival where it won the Special Jury Prize. It was shown at the 2013 Toronto International Film Festival. The film was nominated for the Best Foreign Language Film at the 86th Academy Awards. It won Best Feature Film at the 2013 Asia Pacific Screen Awards. The film was screened at the United Nations in New York on 1 May 2014.

"
321,321,Paradise Now,2005,"Comedy, History","When ancient Sodom is doomed to destruction due to its people's corrupt ways, Lot is the only righteous man destined to be spared.",445620,Paradise Now,,"Paradise Now (Arabic: الجنّة الآن, romanized: al-Janna al-ʾāna) is a political and psychological drama film directed by Hany Abu-Assad about two Palestinian men preparing for a suicide attack in Israel. It won the Golden Globe Award for Best Foreign Language Film and was nominated for an Academy Award in the same category.
""The film is an artistic point of view of that political issue,"" Abu-Assad said. ""The politicians want to see it as black and white, good and evil, and art wants to see it as a human thing"".

"
322,322,David & Kamal,2011,Drama,"In Jerusalem, friendship develops between a Jewish 9-year-old American coin collector and the abused 9-year-old Arab street urchin trying to extort money from him.",1790672,Kamal Haasan,,"Kamal Haasan (born 7 November 1954) is an Indian actor, director, dancer, writer, lyricist, playback singer, choreographer, screenwriter, makeup artist and politician who works mainly in Tamil cinema. He has acted in Tamil films and has also worked in Telugu, Malayalam, Hindi, Kannada and Bengali films. Haasan's contributions to films have been praised by his contemporaries across the Indian film industry, and he has been recognised as an influence for actors and filmmakers in the Tamil film industry. He is a pioneer in introducing many new technologies and cosmetics to the Indian film industry. He has won  4 National Film Awards and 20 Filmfare Awards. After his last Filmfare award for Hey Ram in 2000, he wrote letter to the Filmfare Association requesting not to award him further and give awards to young talents and they accepted that. At age six, he won the President's Gold Medal National award for Best Child Actor for his debut film, Kalathur Kannamma. He was awarded the Kalaimamani award in 1984, The Padma Shri in 1990, the Padma Bhushan in 2014 and the Ordre des Arts et des Lettres (Chevalier) in 2016. Seven of his films  were submitted by India to the Academy Awards for Best Foreign Language Film, the most films ever submitted for any actor in India. He was awarded the Lifetime Achievement Award at 15th Mumbai International Film Festival in 2013. He has won more than 116 awards. His production company, Raaj Kamal Films International, has produced several of his films.
Haasan started his career as a child artist in the 1960 Tamil-language film Kalathur Kannamma, for which he won the President's Gold Medal. His breakthrough as a lead actor came in the 1975 drama Apoorva Raagangal, directed by K. Balachander, in which he played a rebellious youth who falls in love with an older woman. He won his first National Film Award for his portrayal of a guileless school teacher who cares for a woman who suffers from retrograde amnesia in Moondram Pirai (1982). He was noted for his performances in K. Viswanath's Swathi Muthyam (1986), Mani Ratnam's Nayakan (1987), and S. Shankar's Indian (1996) and also won second and third National film awards respectively. Since then he has appeared in films including Hey Ram (2000), Virumaandi (2004), Dasavathaaram (2008) in which he played ten roles, Vishwaroopam (2013) and Vikram (2022) which were his own productions. Haasan has acted in over 230 films, and in 2019 he became one of the few actors in India to have completed 60 years working in cinema.
For his philanthropic efforts, Haasan received the first Abraham Kovoor National Award in 2004. He was project ambassador for the Hridayaragam 2010 event, which raised funds for an orphanage for HIV/AIDS-affected children. In September 2010, Haasan launched a children's cancer relief fund and gave roses to children with cancer at Sri Ramachandra University in Porur, Chennai. Haasan was nominated by the Indian Prime Minister Narendra Modi for the Swachh Bharat Mission. On 21 February 2018, Haasan formally launched his political party, Makkal Needhi Maiam (lit. People's Justice Centre)."
323,323,Karov La Bayit,2005,Drama,"Rebellious and outgoing Smadar can't stand types like Mirit. Mirit, introverted and frightened, keeps away from the likes of Smadar. But the two are thrown together as they are assigned to a patrol in Jerusalem as part of their compulsory military service. Their job is to stop Palestinian passersby, to ask for their identity cards, and to write down their details on special forms. You don't move from this place, don't sit down, don't smoke, don't eat, don't talk on your cell phones, says their commander, leaving them alone on the street with their patrol forms. What will they do now? This is the story of two 18-year-old girls who are busy with their own worlds--falling in love, break-ups, and the volatile relationship between the two--in an attempt to ignore the political reality in a city that slowly makes its way into their lives. As women, this film is our own way of soul searching, about our army service and the occupation",478999,Close to Home (film),,"Close to Home (Hebrew: קרוב לבית, romanized: Karov la bayit) is a 2005 Israeli drama film directed by Dalia Hager and Vidi Bilu, and starring Smadar Sayar and Naama Schedar. It is the first film about the experience of female soldiers in the Israel Defense Forces.
Smadar (Sayar) and Mirit (Schendar), both 18 years old, are assigned to patrol the streets of Jerusalem together as part of their military service. Worlds apart in their personality, their initial frosty relationship becomes a friendship as they deal with their own emotional issues, the crushes and break-ups in their love lives, as well as the political realities of the city in which they live.The film premiered at the 2005 Jerusalem Film Festival. It also showed at the 56th Berlin International Film Festival where it was awarded a prize by the International Association of Art Film Houses.

"
324,324,Metallic Blues,2004,Drama,A fatherless family immigrates to Israel from Egypt during the British Mandate period. The film traces the hardships the family suffers in the politically unstable country.,402374,Metallic Blues,,"Metallic Blues (in Hebrew, a transliteration of the English,""מטאליק בלוז"") is a 2004 film co-production (Israel/Germany/Canada) directed by Israeli director Danny Verete.

"
325,325,Ha-Bayit Berechov Chelouche,1973,"Comedy, Drama","Two Israeli car dealers, Shmuel and Siso, invest five thousand American dollars into a vintage 1985 Lincoln Continental Limousine that they plan to sell in Germany for fifty grand. But when they take it there, they run into problems with the customs police, who are suspicious of Middle Easterners with a huge American gas guzzler. The routine search causes Shmuel to experience a disturbing hallucination about WWII Germany and the Nazis his parents fled from some sixty years earlier. And their adventure in Germany turns into a struggle just to make it out safely, as the echoes of the past catch up with them.",69771,The House on Chelouche Street,,"The House on Chelouche Street (Hebrew: הבית ברחוב שלוש, romanized: HaBayit b'Rechov Shalosh) is a 1973 semi-autobiographical film by Israeli director Moshé Mizrahi, filmed in Hebrew, Egyptian Arabic and Judeo-Spanish (a.k.a. Ladino, a Jewish language mostly derived from Old Castilian). The film was nominated for the Academy Award for Best Foreign Language Film.

"
326,326,Once Upon a Time in Palestine,,"Drama, History, Thriller","A genre-bending thriller with elements of spaghetti westerns, war movies, romantic comedies and silent movies set in British-ruled Palestine in 1946.",6908042,1996 in film,,"The year 1996 involved many significant films. The major releases this year included Scream, Independence Day, Fargo, Trainspotting, The Rock, The English Patient, Twister, Space Jam, Mars Attacks!, Jerry Maguire and a film version of the musical Evita."
327,327,Arabani,2013,Drama,"Yoseph is a Druze who returns to his native village after having been estranged from it for 17 years. He arrives with his son and daughter, whose Jewish mother he has just divorced.",2994212,Maha Haj,,"Maha Haj (Arabic: مها حاج; born in 1970) is an Israeli-born Palestinian film director and screenwriter.

"
328,328,Atomic Falafel,2015,"Comedy, Drama",Two girls from nuclear towns in Israel and Iran spill their countries most valuable secrets on Facebook while trying to prevent a nuclear crisis.,3830312,Alexander Fehling,,"Alexander Fehling (born 29 March 1981) is a German film and stage actor. He is best known for portraying Staff Sgt. Wilhelm in the 2009 Quentin Tarantino World War II film Inglourious Basterds and Jonas Hollander in the Showtime original series Homeland as the boyfriend of Claire Danes's character Carrie Mathison.

"
329,329,Mar Baum,1997,"Comedy, Drama",Mickey Baum is told by his doctor he has cancer and will die in 92 minutes. During his final hour he makes arrangements while recalling his short life and trying to understand the reality in which he has lived.,143751,List of Israeli films of 1997,,"A list of films produced by the Israeli film industry in 1997.

"
330,330,Ervinka,1967,Comedy,"A good-natured but incorrigible layabout becomes embroiled in a plot to rob the Israeli lottery, all the while indulging in his boundless zeal for mischief and romance.",133748,Ervinka,,"Ervinka is a 1967 Israeli film written and directed by Ephraim Kishon. The film, starring Chaim Topol (best known for his role as Tevye from Fiddler on the Roof) is a comical tale of a con man who falls in love with a police officer.

"
331,331,Hadrei habait,2016,Drama,"Avraham is a small-time contractor who's trying to make it into the big-time, and therefor gambles on projects that exceed his capabilities. His family lives in the shadow of his career ambitions, until one of these projects finds him drowning in debts he cannot pay back. Under the threat of the father's financial difficulties they rediscover the strength of their family ties.",5991264,NA,NA,NA
332,332,Tell Me That You Love Me,1983,"Comedy, Drama",,86422,Tell Me That You Love Me (film),,"Tell Me That You Love Me is a Canadian-Israeli coproduced drama film, directed by Tzipi Trope and released in 1983. The film stars Nick Mancuso and Barbara Williams as Dan and Miri, a couple in Tel Aviv whose marriage is running into trouble; meanwhile Miri, a journalist, begins to write a story about spousal abuse when she meets Naomi (Andrée Pelletier), a woman who is being abused by her husband David (Kenneth Welsh).The film was poorly received by critics. Gerald Pratley called it ""a protracted, poorly written and unreal story of a failed marriage"", while Greg Quill of the Toronto Star wrote that ""The only relief from all this dreary anguish is temporary separation. Dan takes a job for a year in New York, Miri works out The Meaning Of Life at home. By then, of course, we couldn't care less about their relationship, about the long, sad silences these two greedy, self-centred people share at the nadir of their married life. Let's just hope they get their just desserts: another 50 years together.""Welsh received a Genie Award nomination for Best Supporting Actor at the 5th Genie Awards in 1984.

"
333,333,It Rained All Night the Day I Left,1980,"Comedy, Crime","A tough rich female ranch owner in Africa wants to cut off the water supply to the locals, since she holds them responsible for the murder of her husband. She hires two charming gunrunners as help, but they suspect her shady competitor.",77428,It Rained All Night the Day I Left,,"It Rained All Night the Day I Left is a comedy film made in 1978 but not theatrically released until 1980. Directed by Nicolas Gessner, the film was a co-production of film studios from Canada, France and Israel.The film stars Tony Curtis and Louis Gossett, Jr. as two gun-runners making a trip through the desert to transport guns for The Colonel (Sally Kellerman). The film's cast also includes John Vernon and Lisa Langlois.
The film was released theatrically in Europe, both in its original English and in a dubbed French version titled Deux affreux sur le sable. It received no theatrical release in North America, instead it was premiered as a television film on CTV and The Movie Channel on August 23, 1982.Gossett's role had originally been slated to be performed by Billy Dee Williams.Kellerman later dismissed her performance in the film, telling the press that ""I always say that I was solidly mediocre and everybody else stunk.""

"
334,334,Phobidilia,2009,Drama,"After suffering an emotional breakdown in a public place, a young man vows never to leave his apartment. He quickly discovers that in today's world all his needs can be easily met: sex via the Internet, food by telephone delivery and entertainment by television. Four years later, his idyllic existence comes under attack when Daniela, a free spirited girl comes into his life while Grumps, the building's real estate agent, informs him that the apartment is about to be sold. Our hero refuses to leave his kingdom and decides to fight till the bitter end.",1494810,List of Israeli films of 2009,,"A list of films produced by the Israeli film industry in 2009.

"
335,335,Aretz Hadasha,1994,Drama,A brother and sister arrive alone in the new country of Israel after World War II where they hope to find their lost mother. The complexities of life with colorful characters in the refugee transit camp and nearby kibbutz makes it hard to reconcile their real lives with their deeper dream of still finding the Newland.,109737,List of Israeli films of 1994,,"A list of films produced by the Israeli film industry in 1994.

"
336,336,Nika,2010,Drama,"Nika was kidnapped and sold into the global sex-trade. Ivan owes a large sum of money to Franco, a terrifying mob boss, who also happens to be the same man who sold Nika into slavery.",1728242,Nika King,,"Nika King is an American actress and comedian. She is best known for her role as Leslie Bennett on the HBO television series Euphoria (2019–present). After starting her acting career in 2002, King moved to Los Angeles and became a stand-up comedian.

"
337,337,Tubianski,2014,"Drama, History, Thriller",,3995806,Ori Pfeffer,,"Ori Pfeffer (Hebrew: אורי פפר; born July 28, 1975) is an Israeli actor. He starred as Detective Golan Cohen in the TV-series Dig and in the movie Hacksaw Ridge.

"
